project_id,year,phase,link,division,status,project,total,state_gf,gifts,debt,other_funds
Cancer Center - MRI LINAC,2021,full,single-name,UVA Health System,Under Construction,Cancer Center - MRI LINAC,8,,,,8
Cancer Center - MRI LINAC,2022,full,single-name,UVA Health System,Under Construction,Cancer Center - MRI LINAC,8,,,,8
Cardiac PET/CT Suite-500 Ray C. Hunt,2026,full,single-name,UVA Health System,In Planning/Design,Cardiac PET/CT Suite-500 Ray C. Hunt,5.5,,,,5.5
Center for Politics,2021,full,single-name,Academic Division,In Planning/Design,Center for Politics,14,,14,,
Center for Politics,2022,full,single-name,Academic Division,Not Yet Initiated,Center for Politics,14,,14,,
Center for Politics,2023,full,single-name,Academic Division,In Planning/Design,Center for Politics,10,,10,,
Center for Politics,2024,full,single-name,Academic Division,In Planning/Design,Center for Politics,10,,10,,
Center for Politics,2025,full,single-name,Academic Division,Under Construction,Center for Politics,10,,10,,
Center for the Arts,2021,planning,exact-key,Academic Division,In Planning/Design,Center for the Arts(planning),16,,16,,
Center for the Arts,2022,planning,exact-key,Academic Division,Not Yet Initiated,Center for the Arts (planning/design),11.1,,11.1,,
Center for the Arts,2023,planning,exact-key,Academic Division,In Planning/Design,Center for the Arts(planning/design),15.3,,15.3,,
Center for the Arts,2024,planning,exact-key,Academic Division,In Planning/Design,Center for the Arts(planning/design),15.3,,15.3,,
Center for the Arts,2025,planning,exact-key,Academic Division,In Planning/Design,Center for the Arts(planningand design),17.3,,17.3,,
Center for the Arts,2026,planning,exact-key,Academic Division,In Planning/Design,Center for the Arts(planningand design),29.3,,29.3,,
Chemistry Building Addition Fume Exhaust Renewal,2021,full,fuzzy,Academic Division,In Planning/Design,Chemistry Building Addition Fume Exhaust Renewal,8.5,,,,8.5
Chemistry Building Addition Fume Exhaust Renewal,2022,full,fuzzy,Academic Division,In Planning/Design,Chemistry Building Fume Exhaust Renewal,8.5,,,,8.5
Chemistry Building Addition Fume Exhaust Renewal,2023,full,fuzzy,Academic Division,Under Construction,Chemistry Building Addition Fume Exhaust Renewal,8.5,,,,8.5
Computing& Innovation Center,2026,full,single-name,Academic Division,In Planning/Design,Computing& Innovation Center,102,,,37,65
Consumer Ambulatory Clinic (tenant fit-out),2021,full,exact-key,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic(tenant fit-out),15,,,,15
Consumer Ambulatory Clinic (tenant fit-out),2022,full,exact-key,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic (tenant fit-out),15,,,,15
Consumer Ambulatory Clinic (tenant fit-out),2023,full,exact-key,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic(tenant fit-out),15,,,,15
Consumer Ambulatory Clinic (tenant fit-out),2024,full,exact-key,UVA Health System,Not Yet Initiated,Consumer Ambulatory Clinic (tenant fit-out),15,,,,15
Consumer Ambulatory Clinic (tenant fit-out),2025,full,exact-key,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic(tenant fit-out),25,,,,25
Consumer Ambulatory Clinic (tenant fit-out),2026,full,exact-key,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic (tenant fit-out),25,,,,25
Contemplative Commons,2021,full,single-name,Academic Division,Under Construction,Contemplative Commons,69,,49,15,5
Contemplative Commons,2022,full,single-name,Academic Division,Under Construction,Contemplative Commons,69,,49,15,5
Contemplative Commons,2023,full,single-name,Academic Division,Under Construction,Contemplative Commons,72.6,,52.6,15,5
Copeley Connector Road,2026,planning,single-name,Academic Division,In Planning/Design,Copeley Connector Road(planning/design),0.1,,,,0.1
Core Lab Renovations,2026,planning,single-name,UVA Health System,In Planning/Design,Core Lab Renovations (planning/design),1.25,,,,1.25
Darden Academic Building,2021,full,single-name,Academic Division,In Planning/Design,Darden Academic Building,85,,85,,
Darden Academic Building,2022,full,single-name,Academic Division,Not Yet Initiated,Darden Academic Building,85,,85,,
Darden Faculty Office Building Renovation,2024,planning,exact-key,Academic Division,Not Yet Initiated,Darden Faculty Office Building Renovation (planning/design),1.5,,1.5,,
Darden Faculty Office Building Renovation,2025,full,exact-key,Academic Division,In Planning/Design,Darden Faculty Office Building Renovation,20,,20,,
Darden Faculty Office Building Renovation,2026,full,exact-key,Academic Division,In Planning/Design,Darden Faculty Office Building Renovation,20,,20,,
Darden Faculty Research Building Renovation,2024,planning,exact-key,Academic Division,Not Yet Initiated,Darden Faculty Research Building Renovation (planning/design),1.5,,1.5,,
Darden Faculty Research Building Renovation,2025,planning,exact-key,Academic Division,Not Yet Initiated,Darden Faculty Research Building Renovation(planning/design),1.5,,1.5,,
Darden Faculty Research Building Renovation,2026,planning,exact-key,Academic Division,Pending Future Funding,Darden Faculty Research Building Renovation(planning/design),1.5,,1.5,,
Darden Global Innovation Nexus,2024,planning,single-name,Academic Division,Not Yet Initiated,Darden Global Innovation Nexus(planning/design),5,,5,,
Darden Global Innovation Nexus,2025,planning,single-name,Academic Division,Not Yet Initiated,Darden Global Innovation Nexus(planning/design),5,,5,,
Darden Global Innovation Nexus,2026,planning,single-name,Academic Division,Pending Future Funding,Darden Global Innovation Nexus(planning/design),5,,5,,
Darden Hall Renovation,2021,full,single-name,College at Wise,In Planning/Design,Darden Hall Renovation,31.22,31.22,,,
Darden Hall Renovation,2022,full,single-name,College at Wise,Not Yet Initiated,Darden Hall Renovation,31.22,31.22,,,
Darden Hall Renovation,2023,full,single-name,College at Wise,In Planning/Design,Darden Hall Renovation,40.3,40.3,,,
Darden Hall Renovation,2024,full,single-name,College at Wise,In Planning/Design,Darden Hall Renovation,46.1,46.1,,,
Darden Hall Renovation,2025,full,single-name,College at Wise,In Planning/Design,Darden Hall Renovation,38.7,38.7,,,
Darden Hall Renovation,2026,full,single-name,College at Wise,In Planning/Design,Darden Hall Renovation,35.9,35.9,,,
Darden Student Housing,2023,full,single-name,Academic Division,In Planning/Design,Darden Student Housing,130,,,130,
Darden Student Housing,2024,full,single-name,Academic Division,In Planning/Design,Darden Student Housing,155,,6,149,
Darden Student Housing,2025,full,single-name,Academic Division,Under Construction,Darden Student Housing,155,,6,149,
Darden Student Housing,2026,full,single-name,Academic Division,Under Construction,Darden Student Housing,170,,6,149,15
Data Center,2021,full,single-name,UVA Health System,In Planning/Design,Data Center,23,,,,23
Data Center,2022,full,single-name,UVA Health System,Not Yet Initiated,Data Center,23,,,,23
Engineering Academic Building,2022,planning,single-name,Academic Division,Not Yet Initiated,Engineering Academic Building (planning/design),5,,5,,
Engineering Academic Building,2023,planning,single-name,Academic Division,In Planning/Design,Engineering Academic Building (planning/design),5,,5,,
Engineering Academic Building,2024,planning,single-name,Academic Division,In Planning/Design,Engineering Academic Building (planning/design),5,,5,,
Engineering Academic Building,2025,planning,single-name,Academic Division,Not Yet Initiated,Engineering Academic Building (planning/design),5,,5,,
Engineering Academic Building,2026,planning,single-name,Academic Division,Pending Future Funding,Engineering Academic Building (planning/design),5,,5,,
Environmental Health & Safety Facility,2021,full,exact-key,Academic Division,In Planning/Design,Environmental Health & Safety Facility,28,,,28,
Environmental Health & Safety Facility,2022,full,exact-key,Academic Division,Not Yet Initiated,Environmental Health & Safety Facility,28,,,28,
Environmental Health & Safety Facility,2023,planning,exact-key,Academic Division,In Planning/Design,Environmental Health & Safety Facility (planning/design),1.5,,,,1.5
Environmental Health & Safety Facility,2024,planning,exact-key,Academic Division,Not Yet Initiated,Environmental Health & Safety Facility (planning/design),1.5,,,,1.5
Environmental Health & Safety Facility,2025,planning,exact-key,Academic Division,Not Yet Initiated,Environmental Health & Safety Facility (planning/design),1.5,,,,1.5
Environmental Health & Safety Facility,2026,planning,exact-key,Academic Division,Pending Future Funding,Environmental Health & Safety Facility (planning/design),1.5,,,,1.5
Focused Ultrasound Expansion,2021,full,single-name,UVA Health System,In Planning/Design,Focused Ultrasound Expansion,16.5,,,,16.5
Focused Ultrasound Expansion,2022,full,single-name,UVA Health System,In Planning/Design,Focused Ultrasound Expansion,16.5,,,,16.5
Focused Ultrasound Expansion,2023,full,single-name,UVA Health System,In Planning/Design,Focused Ultrasound Expansion,16.5,,,,16.5
Focused Ultrasound Expansion,2024,full,single-name,UVA Health System,Under Construction,Focused Ultrasound Expansion,16.5,,,,16.5
Fontaine Infrastructure & Parking Garage,2021,full,override-confirmed,Academic Division,In Planning/Design,Fontaine Research Park Infrastructure & Parking Garage,87,,,87,
Fontaine Infrastructure & Parking Garage,2022,full,override-confirmed,Academic Division,Not Yet Initiated,Fontaine Infrastructure & Parking Garage,87,,,87,
Fontaine Research Park Central Energy Plant & Utilities,2021,full,exact-key,Academic Division,In Planning/Design,Fontaine Research Park Central Energy Plant & Utilities,35,,,35,
Fontaine Research Park Central Energy Plant & Utilities,2022,full,fuzzy,Academic Division,Not Yet Initiated,Fontaine Central Energy Plant & Utilities,55,,,40,15
Fontaine Research Park Central Energy Plant & Utilities,2023,full,exact-key,Academic Division,In Planning/Design,Fontaine Research Park Central Energy Plant & Utilities,70,,,62.5,7.5
Fontaine Research Park Central Energy Plant & Utilities,2024,full,exact-key,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities,70,,,62.5,7.5
Fontaine Research Park Central Energy Plant & Utilities,2025,full,exact-key,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities,70,,,62.5,7.5
Fontaine Research Park Central Energy Plant & Utilities,2026,full,exact-key,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities(includes Data Center utilitydistribution),70,,,62.5,7.5
Fontaine Research Park Roadway Infrastructure,2023,full,single-name,Academic Division,In Planning/Design,Fontaine Research Park Roadway Infrastructure,10,,,,10
Fontaine Research Park Roadway Infrastructure,2024,full,single-name,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,10,,,,10
Fontaine Research Park Roadway Infrastructure,2025,full,single-name,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,10,,,,10
Fontaine Research Park Roadway Infrastructure,2026,full,single-name,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,10,,,,10
Fontaine Research Parking Garage,2023,full,fuzzy,Academic Division,In Planning/Design,Fontaine Research Park Parking Garage,61,,,46.65,14.35
Fontaine Research Parking Garage,2024,full,fuzzy,Academic Division,Under Construction,Fontaine Research Park Parking Garage,61,,,46.65,14.35
Fontaine Research Parking Garage,2025,full,fuzzy,Academic Division,Under Construction,Fontaine Research Park Parking Garage,61,,,46.65,14.35
Fontaine Research Parking Garage,2026,full,fuzzy,Academic Division,Under Construction,Fontaine Research Parking Garage (project includes park-wide stormwater),61,,,46.65,14.35
Football Operations Center,2021,full,override-confirmed,Academic Division,In Planning/Design,Athletics Complex Phase III*(Football Operations Center),70,,70,,
Football Operations Center,2022,full,override-confirmed,Academic Division,In Planning/Design,Athletics Complex Phase III - Football Operations Center,80,,24.7,31,24.3
Football Operations Center,2023,full,single-name,Academic Division,Under Construction,Football Operations Center,80,,26.2,29.5,24.3
Gaston House & Ramazani House,2023,full,single-name,Academic Division,Under Construction,Gaston House & Ramazani House,114,,,63.02,50.98
Gilmer Hall and Chemistry Building Renovation,2021,full,single-name,Academic Division,Under Construction,Gilmer Hall and Chemistry Building Renovation,197.03,146.7,,42.53,7.8
Gilmer Hall and Chemistry Building Renovation,2022,full,single-name,Academic Division,Under Construction,Gilmer Hall and Chemistry Building Renovation,197.03,146.7,,42.53,7.8
Hereford Residential College HVAC Upgrade,2024,full,single-name,Academic Division,Under Construction,Hereford Residential College HVAC Upgrade,11.4,,,,11.4
Hereford Residential College HVAC Upgrade,2025,full,single-name,Academic Division,Under Construction,Hereford Residential College HVAC Upgrade,11.4,,,,11.4
Inn at Darden,2021,full,single-name,Academic Division,Under Construction,Inn at Darden,135,,30,91.5,13.5
Inn at Darden,2022,full,single-name,Academic Division,Under Construction,Inn at Darden,135,,30,91.5,13.5
Institute for Biotechnology,2022,full,single-name,Academic Division,Not Yet Initiated,Institute for Biotechnology,350,175,100,75,
Interdisciplinary Research Buildings - 2030 Strategic Plan,2021,planning,single-name,Academic Division,In Planning/Design,Interdisciplinary Research Buildings - 2030 Strategic Plan<br>(planning),1,,,,1
Ivy Corridor Landscape & Infrastructure Phase IIA,2022,full,single-name,Academic Division,Not Yet Initiated,Ivy Corridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
Ivy Corridor Landscape & Infrastructure Phase IIA,2023,full,single-name,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
Ivy Corridor Landscape & Infrastructure Phase IIA,2024,full,single-name,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
Ivy Corridor Landscape & Infrastructure Phase IIA,2025,full,single-name,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
Ivy Corridor Landscape and Infrastructure Phase I,2021,full,exact-key,Academic Division,Under Construction,Ivy Corridor Landscape and Infrastructure Phase I,60,,,56,4
Ivy Corridor Landscape and Infrastructure Phase I,2022,full,exact-key,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase I,60,,,56,4
Ivy Corridor Landscape and Infrastructure Phase I,2023,full,exact-key,Academic Division,Under Construction,Ivy Corridor Landscape and Infrastructure Phase I,60,,,56,4
Ivy Corridor Student Housing,2025,full,single-name,Academic Division,Under Construction,Ivy Corridor Student Housing,160,,,160,
Ivy Corridor Student Housing,2026,full,single-name,Academic Division,Under Construction,Ivy Corridor Student Housing,175,,,160,15
Karsh Institute of Democracy,2021,full,exact-key,Academic Division,In Planning/Design,Karsh Institute of Democracy*,80,,80,,
Karsh Institute of Democracy,2022,full,exact-key,Academic Division,In Planning/Design,Karsh Institute of Democracy (includes Batten),80,,5,75,
Karsh Institute of Democracy,2023,full,exact-key,Academic Division,In Planning/Design,Karsh Institute of Democracy (includes Batten),80,,5,75,
Karsh Institute of Democracy,2024,full,exact-key,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),82,,7,75,
Karsh Institute of Democracy,2025,full,exact-key,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),82,,7,75,
Karsh Institute of Democracy,2026,full,exact-key,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),82,,7,75,
Lambeth Field Apartments HVAC Improvements,2021,full,single-name,Academic Division,Under Construction,Lambeth Field Apartments HVAC Improvements,14.5,,,14.5,
Lambeth Field Apartments HVAC Improvements,2022,full,single-name,Academic Division,Under Construction,Lambeth Field Apartments HVAC Improvements,14.5,,,14.5,
Low Temperature Hot Water Conversion,2021,full,single-name,Academic Division,Under Construction,Low Temperature Hot Water Conversion,35,,,34.5,0.5
Low Temperature Hot Water Conversion,2022,full,single-name,Academic Division,Under Construction,Low Temperature Hot Water Conversion,35,,,34.5,0.5
Low Temperature Hot Water Conversion,2023,full,single-name,Academic Division,Under Construction,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
Low Temperature Hot Water Conversion,2024,full,single-name,Academic Division,Under Construction,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
Low Temperature Hot Water Conversion,2025,full,single-name,Academic Division,Under Construction,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
Mail Order & Specialty Pharmacy Expansion,2025,full,single-name,UVA Health System,In Planning/Design,Mail Order & Specialty Pharmacy Expansion,10.5,,,,10.5
Main Heat Plant Fuel Conversion,2025,full,single-name,Academic Division,In Planning/Design,Main Heat Plant Fuel Conversion,38,,,38,
Main Heat Plant Fuel Conversion,2026,full,single-name,Academic Division,In Planning/Design,Main Heat Plant Fuel Conversion,38,,,38,
Massie Road Utility Extension,2021,full,single-name,Academic Division,Under Construction,Massie Road Utility Extension,11,,,6,5
Massie Road Utility Extension,2022,full,single-name,Academic Division,Under Construction,Massie Road Utility Extension,11,,,6,5
Mem Gym Infrastructure & Accessibility Renewal,2022,full,single-name,Academic Division,Not Yet Initiated,Mem Gym Infrastructure & Accessibility Renewal,20.5,,,20.5,
Mem Gym Infrastructure & Accessibility Renewal,2023,full,single-name,Academic Division,In Planning/Design,Mem Gym Infrastructure & Accessibility Renewal,20.5,,,20.5,
Mem Gym Infrastructure & Accessibility Renewal,2024,full,single-name,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,20.5,,,20.5,
Mem Gym Infrastructure & Accessibility Renewal,2025,full,single-name,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,20.5,,,20.5,
Mem Gym Infrastructure & Accessibility Renewal,2026,full,single-name,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,20.5,,,20.5,
Millmont Renovation: Transportation Administrative and Bus Service Facility,2025,full,single-name,Academic Division,In Planning/Design,Millmont Renovation: Transportation Administrative and Bus Service Facility,10,,,,10
Millmont Renovation: Transportation Administrative and Bus Service Facility,2026,full,single-name,Academic Division,In Planning/Design,Millmont Renovation: Transportation Administrative and Bus Service Facility,10,,,,10
Monroe Hall Addition HVAC Renewal,2022,full,single-name,Academic Division,Not Yet Initiated,Monroe Hall Addition HVAC Renewal,9,,,4.5,4.5
Monroe Hall Addition HVAC Renewal,2023,full,single-name,Academic Division,In Planning/Design,Monroe Hall Addition HVAC Renewal,9,,,4.5,4.5
Monroe Hall Addition HVAC Renewal,2024,full,single-name,Academic Division,In Planning/Design,Monroe Hall Addition HVAC Renewal,9,,,4.5,4.5
Monroe Hall Addition HVAC Renewal,2025,full,single-name,Academic Division,Under Construction,Monroe Hall Addition HVAC Renewal,9,,,4.5,4.5
Multi-Disciplinary Ambulatory Clinic Building,2021,full,single-name,UVA Health System,In Planning/Design,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Multi-Disciplinary Ambulatory Clinic Building,2022,full,single-name,UVA Health System,In Planning/Design,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Multi-Disciplinary Ambulatory Clinic Building,2023,full,single-name,UVA Health System,In Planning/Design,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Multi-Disciplinary Ambulatory Clinic Building,2024,full,single-name,UVA Health System,Not Yet Initiated,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Multi-Disciplinary Ambulatory Clinic Building,2025,full,single-name,UVA Health System,Not Yet Initiated,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Multi-Disciplinary Ambulatory Clinic Building,2026,full,single-name,UVA Health System,Pending Future Funding,Multi-Disciplinary Ambulatory Clinic Building,155,,,77.5,77.5
Music Education Center,2021,full,single-name,College at Wise,In Planning/Design,Music Education Center,45.2,22.6,22.6,,
Music Education Center,2022,full,single-name,College at Wise,Not Yet Initiated,Music Education Center,45.2,22.6,22.6,,
Music Education Center,2023,full,single-name,College at Wise,In Planning/Design,Music Education Center,45.2,22.6,22.6,,
Music Education Center,2024,full,single-name,College at Wise,Not Yet Initiated,Music Education Center,45.2,22.6,22.6,,
North Grounds Parking Garage,2022,full,override-probable,Academic Division,Not Yet Initiated,Parking Garage,54,,,46.8,7.2
North Grounds Parking Garage,2023,full,single-name,Academic Division,In Planning/Design,North Grounds Parking Garage,50,,,42.8,7.2
North Grounds Parking Garage,2024,full,single-name,Academic Division,In Planning/Design,North Grounds Parking Garage,50,,,19.7,30.3
North Grounds Parking Garage,2025,full,single-name,Academic Division,Under Construction,North Grounds Parking Garage,50,,,19.7,30.3
North Grounds Parking Garage,2026,full,single-name,Academic Division,Under Construction,North Grounds Parking Garage,50,,,19.7,30.3
OMERF MEP System Renewal & ADA Improvements,2024,planning,single-name,Academic Division,Not Yet Initiated,OMERF MEP System Renewal & ADA Improvements(planning/design),1.5,,,,1.5
Old Cabell Hall Renewal,2021,full,single-name,Academic Division,In Planning/Design,Old Cabell Hall Renewal,60,60,,,
Old Cabell Hall Renewal,2022,full,single-name,Academic Division,Not Yet Initiated,Old Cabell Hall Renewal,60,60,,,
Old Cabell Hall Renewal,2023,full,single-name,Academic Division,In Planning/Design,Old Cabell Hall Renewal,60,60,,,
Olympic Sports Center,2022,full,override-confirmed,Academic Division,In Planning/Design,Athletics Complex Phase IV-Olympic Sports Center,65,,35,,30
Olympic Sports Center,2023,full,single-name,Academic Division,Under Construction,Olympic Sports Center,75,,,75,
Olympic Sports Center,2024,full,single-name,Academic Division,Under Construction,Olympic Sports Center,75.8,,,75.8,
Olympic Sports Center,2025,full,single-name,Academic Division,Under Construction,Olympic Sports Center,75.8,,,75.8,
Paul and Diane Manning Institute of Biotechnology,2023,full,single-name,Academic Division,In Planning/Design,Institute of Biotechnology,350,,100,250,
Paul and Diane Manning Institute of Biotechnology,2024,full,override-confirmed,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,350,,100,250,
Paul and Diane Manning Institute of Biotechnology,2025,full,override-confirmed,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,350,,100,250,
Paul and Diane Manning Institute of Biotechnology,2026,full,override-confirmed,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,380.6,,100,250,30.6
Physics Building Classrooms,2022,full,single-name,Academic Division,Not Yet Initiated,Physics Building Classrooms,7,,,,7
Physics Building Classrooms,2023,full,single-name,Academic Division,Under Construction,Physics Building Classrooms,7,1,,,6
Physics Building Renewal,2021,full,single-name,Academic Division,In Planning/Design,Physics Building Renewal,58.2,58.2,,,
Physics Building Renewal,2022,full,single-name,Academic Division,In Planning/Design,Physics Building Renewal,62.8,60.42,,,2.38
Physics Building Renewal,2023,full,single-name,Academic Division,Under Construction,Physics Building Renewal,62.51,60.42,,,2.09
Pinn Hall 2nd-Floor Renovation,2024,full,single-name,Academic Division,Not Yet Initiated,Pinn Hall 2nd-Floor Renovation,7,,,,7
Pinn Hall Integrated Spatial Biology Core Consortium,2022,full,single-name,Academic Division,Not Yet Initiated,Pinn Hall Integrated Spatial Biology Core Consortium,8.5,,8,,0.5
Pinn Hall Integrated Spatial Biology Core Consortium,2023,full,single-name,Academic Division,In Planning/Design,Pinn Hall Integrated Spatial Biology Core Consortium,8.5,,8,,0.5
Pinn Hall Renovation Phase II,2021,full,single-name,Academic Division,In Planning/Design,Pinn Hall Renovation Phase II,38,,,38,
Pinn Hall Renovation Phase II,2022,full,single-name,Academic Division,Not Yet Initiated,Pinn Hall Renovation Phase II,38,,,38,
Public Safety Building Renovation,2023,planning,override-probable,Academic Division,In Planning/Design,Public Safety Building (planning/design),1.5,,,,1.5
Public Safety Building Renovation,2024,full,single-name,Academic Division,Under Construction,Public Safety Building Renovation,10,,,,10
Public Safety Building Renovation,2025,full,single-name,Academic Division,Under Construction,Public Safety Building Renovation,10,,,,10
Replacement of the Chemistry Addition Chillers,2023,full,single-name,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,10,,,10,
Replacement of the Chemistry Addition Chillers,2024,full,single-name,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,12,,,12,
Replacement of the Chemistry Addition Chillers,2025,full,single-name,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,12,,,12,
Replacement of the Chemistry Addition Chillers,2026,full,single-name,Academic Division,Under Construction,Replacement of the Chemistry Addition Chillers,12,,,12,
Replacement of the Video Scoreboard at Scott Stadium,2023,full,single-name,Academic Division,In Planning/Design,Replacement of the Video Scoreboard at Scott Stadium,13.4,,5.4,,8
Research Data Center,2023,planning,override-probable,Academic Division,In Planning/Design,Research Computing Data Center(planning/design),3,,,,3
Research Data Center,2024,planning,override-probable,Academic Division,In Planning/Design,Research Computing Data Center(planning/design),3,,,,3
Research Data Center,2025,full,single-name,Academic Division,In Planning/Design,Research Data Center,72,,,37,35
Sandridge Science Center Lab Wing Renovation,2021,full,single-name,College at Wise,In Planning/Design,Sandridge Science Center Lab Wing Renovation,39.1,39.1,,,
Sandridge Science Center Lab Wing Renovation,2022,full,single-name,College at Wise,Not Yet Initiated,Sandridge Science Center Lab Wing Renovation,39.1,39.1,,,
Sandridge Science Center Lab Wing Renovation,2023,full,single-name,College at Wise,In Planning/Design,Sandridge Science Center Lab Wing Renovation,39.1,39.1,,,
Sandridge Science Center Lab Wing Renovation,2024,full,single-name,College at Wise,Not Yet Initiated,Sandridge Science Center Lab Wing Renovation,39.1,39.1,,,
Sandridge Science Center Lab Wing Renovation,2025,full,single-name,College at Wise,Not Yet Initiated,Sandridge Science Center Lab Wing Renovation,40.5,40.5,,,
Sandridge Science Center Lab Wing Renovation,2026,full,single-name,College at Wise,Pending Future Funding,Sandridge Science Center Lab Wing Renovation,40.5,40.5,,,
Satellite Clinical Lab at Town Center IV,2025,full,single-name,UVA Health System,In Planning/Design,Satellite Clinical Lab at Town Center IV,35,,,,35
